,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
First,Middle,Last,Street,City,State,Zip,SSN,,
CAMMIE,,BURON,1423 GUMWOOD,INDIANAPOLIS,IN,46234,666149163,,
MELISSA,,MEYER,4308 JACKSON,INDIANAPOLIS,IN,46241,666161490,,
NANCY,M,BRADLEY,PO BOX 1724,MARTINSVILLE,IN,46151,666168675,,
WILLIAM,G,GARRARD,3070 BENTWOOD CIRCLE SOUT,INDIANAPOLIS,IN,46268,666192267,,
MATTHEW,J,BRENNAN,5927 N COBURN,INDIANAPOLIS,IN,46208,666192925,,
JOSEPH,,LONG,3501 N GLADSTONE,INDIANAPOLIS,IN,46218,666203037,,
JOHN,,CRAWFORD,7834 MAUREEN,INDIANAPOLIS,IN,46214,666203562,,
ETHEL,,BALDWIN,215 ROSE,ANDERSON,IN,46012,666209847,,
RONALD,,BARNES,1990 N JE TO LAKE EAST,DANVILLE,IN,46122,666213527,,
EILVIA,A,FOULKES,10615 REGIS,INDIANAPOLIS,IN,46239,666214733,,
WIL,J,BRIGGS,RR8,COLUMBIA CITY,IN,46725,666225060,,
VINCENT,,BARBAROSSA     JR,5128 E 20TH,INDIANAPOLIS,IN,46218,666230015,,
YEKATERIN,V,BARBASH,2129 BRAEBURN,INDIANAPOLIS,IN,46219,666240392,,
CRAIG,C,BRANDENBURG,5340 E 21ST,INDIANAPOLIS,IN,46218,666254436,,
LESTER,W,GRANT,719 PEARL,WHITELAND,IN,46184,666258130,,
JILL,H,BRODY,2403 OSMAN,GREENFIELD,IN,46140,666275717,,
BRIAN,J,BEECHEM,2480 LENVOIL,MARTINSVILLE,IN,46151,666282913,,
KATHLEEN,W,BILGER,3601 E 39TH,INDIANAPOLIS,IN,46205,666287809,,
RENTOUL,C,GREVATT,5602 CAITO,INDIANAPOLIS,IN,46226,666296994,,
JENNIFER,S,HARRIS,PO BOX 7,NORTH SALEM,IN,46165,666314093,,
DONALD,,JEANE,P O BOX 291,BROOKLYN,IN,46111,666324809,,
OPHGG,A,CURRY,5708 DOLLAR HIDE,INDIANAPOLIS,IN,46221,666373293,,
IMA,,JOHNSON,4002 GRACELAND,INDIANAPOLIS,IN,46208,666404569,,
JIMBELLS,S,BRUMBELOW,2504 FOX HARBOUR SOUTH,INDIANAPOLIS,IN,46227,666407163,,
CATHERINE,B,KNIGHT,201 E 1ST,BLOOMINGTON,IN,47401,666421990,,
KIMBERLEY,A,BROWN,212 N TOUTIERS,INDIANAPOLIS,IN,46219,666440234,,
QUIJANO,,AURORA,10319 MEDALLION,INDIANAPOLIS,IN,46231,666441528,,
MICHAEL,D,LAIR,8120 TREVELLIAN,INDIANAPOLIS,IN,46217,666448258,,
PEGGY,F,BENSON,PO BOX 47146,INDIANAPOLIS,IN,46247,666459946,,
R,,DANIELS,9 HOLLY,RICHMOND,IN,47374,666468949,,
CATHERINE,,BATES,PO BOX 2014,BLOOMINGTON,IN,47402,666470779,,
LINDA,L,BOULDEN,1341 BROWNSWOOD,BROWNSBURG,IN,46112,666478818,,
CATHIE,,GREENE,1660 PUMPKINVINE HILL,MARTINSVILLE,IN,46151,666481224,,
EDITH,T,BUTLER,8207 ZIONSVILLE,INDIANAPOLIS,IN,46268,666483904,,
JEFFERY,M,BAIG,5003 KAREN,LAWRENCE,IN,46226,666501502,,
DOMINC,C,BRUNO          JR,6916 BRECKENRIDGE,INDIANAPOLIS,IN,46236,666502477,,
PATRICK,,CATHCART       JR,409 BRADOCK,INDIANAPOLIS,IN,46234,666503564,,
NILDA,T,ESTILER,34 CHRISTY,GREENWOOD,IN,46143,666506706,,
LAURA,L,BAILEY,9103 MEADOWLARK,INDIANAPOLIS,IN,46236,666515592,,
ESTELA,,CASTRO,3827 DEER,INDIANAPOLIS,IN,46254,666519574,,
INGE,S,JOENS,1929 N RIVERWOOD,SHELBYVILLE,IN,46176,666526600,,
ALIDA,P,GUDAITIS,422 3RD NW,CARMEL,IN,46032,666528673,,
DAVID,E,EDMINISTER,3720 N PENN,INDPLS,IN,46205,666528997,,
NONA,F,MORGAN,1077 CLIFFORD,BROWNSBURG,IN,46112,666545111,,
TIMOTHY,A,BROWN,2204 W EUCLID,MUNCIE,IN,47304,666564093,,
WANDA,K,LANDRUM,7210 PICTON,INDIANAPOLIS,IN,46226,666570329,,
IRENE,M,FITZPATRICK,1775 MCKIBBEN,WABASH,IN,46992,666572518,,
PEGGY,L,BOATMAN,4502 PINEHOLLOW,INDIANAPOLIS,IN,46254,666580431,,
PAUL,J,BECKER         SR,SUNNYSIDE,MARTINSVILLE,IN,46151,666611323,,
MERLE,H,BISER,234 RR1,WESTPOINT,IN,47992,666649120,,
WILLIAM,P,FLICKINGER,6484 CRIMSON CIRCLE EAST,INDIANAPOLIS,IN,46227,666653630,,
CHARLES,E,DENHAM,119 HILLS,CLARKSVILLE,IN,47129,666663115,,
LARA,P,LATTURE,111 FOXHILL,INDIANAPOLIS,IN,46208,666680510,,
BRETT,K,INGRAM,5810 N COUNTY LINE,INDIANAPOLIS,IN,46236,666683160,,
MYRNA,,BROCATO,11423 LEANDER,INDIANAPOLIS,IN,46236,666723399,,
MICHAEL,D,BARKSDALE,4250 ASBURY,INDIANAPOLIS,IN,46227,666727343,,
JOEY,,BOSANIC,4807 W CHESTERFIELD,INDIANAPOLIS,IN,46227,666731770,,
TOM,,GELWICKS,3254 BRAESIDE,BLOOMINGTON,IN,47408,666750291,,
TAMARA,A,GAIGER,1144 S PETTIBONE,CROWN POINT,IN,46307,666761644,,
ROBERT,C,BRADLEY        SR,191 E SOUTH,FRANKLIN,IN,46131,666782200,,
DENNIS,,BANKS,6024 HAVERFORD,INDIANAPOLIS,IN,46220,666826988,,
CARLOS,E,CHIO,901 W 6TH,GREENFIELD,IN,46140,666847835,,
PATRICIA,B,BABIN,PO BOX 9775,INDPLS,IN,46236,666883883,,
MADELYN,,BROWN,407 W STADIUM,W LAFAYETTE,IN,47906,666886344,,
PAUL,J,BECKER         JR,5966 W COUNTY S,KNIGHTSTOWN,IN,46148,666903658,,
DORIS,,COLEMAN,97 FISHING WORM,VEVAY,IN,47043,666925835,,
MARIANNE,E,HELTON,701 W 6TH,GREENFIELD,IN,46140,666927096,,
GINA,L,LONEEAGLE,730 HOWARD,SHELBYVILLE,IN,46176,666941273,,
SANDI,A,KEATING,549 ARBOR,CARMEL,IN,46032,666944295,,
RICHARD,J,FROEDHOFF,7417 TROON,INDIANAPOLIS,IN,46237,666964089,,
JENNIFER,M,KANE,750 S WALKER TRLR 16,BLOOMINGTON,IN,47403,666966679,,
DIANNA,B,DUGAS,5255 LADYWOOD,INDIANAPOLIS,IN,46226,666972869,,
H,M,CRAIG,1322 BOONE,INDIANAPOLIS,IN,46217,666974962,,
SHARON,K,MARTIN,8460 LAUREL VALLEY,INDIANAPOLIS,IN,46250,666996120,,
MICHAEL,,BARSKI,6550 ROCKLANE,GREENWOOD,IN,46143,666019358,,
MARY,L,BURNETT,1565 STONEHEDGE,GREENWOOD,IN,46142,666020337,,
DOMINIC,,BRUNO,9022 PENDLETON,INDIANAPOLIS,IN,46236,666020831,,
HARRY,R,COMITO,6160 E 9TH,INDIANAPOLIS,IN,46219,666040875,,
MOHAMMAD,,CHOWDURY,731 WESTBURY WEST,INDIANAPOLIS,IN,46224,666049206,,
GEORGE,,BUCHANAN,2550 YEAGER,W LAFAYETTE,IN,47906,666059597,,
JOE,,BOULDEN,130 GREENACRE,BROWNSBURG,IN,46112,666081203,,
MARY,,BOYD,767 S COUNTY W,DANVILLE,IN,46122,666090899,,
DEAN,,CURRY,6657 CREEK BAY,INDIANAPOLIS,IN,46217,666117101,,
JONATHAN,L,KROCKER,5115 E 74TH,INDIANAPOLIS,IN,46250,666118702,,
ALBYRT,,BOOR,3692 W COUNTY ROAD 200 S,DANVILLE,IN,46122,666127150,,
RICKEY,,HIGHFIELD,1120B CANTERBURY,INDIANAPOLIS,IN,46260,666130807,,
ISHAN,,BADAAN,923 SHELBY,SHELBYVILLE,IN,46176,666131621,,
MICHOL,A,BERRY,7116 DEAN,INDIANAPOLIS,IN,46240,666132524,,
JUDITH,M,MAKI,2744A WHITE KNIGHT,INDIANAPOLIS,IN,46229,666132834,,
STEPHEN,R,GABBARD,5215 MASON,INDIANAPOLIS,IN,46254,666140538,,
PAUL,,MICHAELS,60 E SOUTHPORT,GREENWOOD,IN,46142,666169199,,
KAREN,,DRESSEL,600 N 1306 W,KOKOMO,IN,46901,666171298,,
DONALD,B,LYTLE,307 S 9TH,NOBLESVILLE,IN,46060,666209298,,
CHRISTOPHER,L,EDEN,9415 MONROE,CROWN POINT,IN,46307,666235900,,
R,,BELL,673 METAIRIE,GREENWOOD,IN,46143,666264668,,
MICHAEL,,BENOIT,2922 EAGLES CREST,INDIANAPOLIS,IN,46214,666280084,,
RICHARD,L,BOND,10688 ADAM,FISHERS,IN,46038,666280778,,
JAMES,R,BLANTON,938 CONNER,NOBLESVILLE,IN,46060,666298482,,
JEFF,W,BOHNEN,6940 IDLEWOOD N,INDIANAPOLIS,IN,46214,666299571,,
PEGGIE,L,BOATMAN,479 E STATE ROAD 44,FRANKLIN,IN,46131,666308545,,
LENNIE,C,BANKS,204 W ELM,JAMESTOWN,IN,46147,666314944,,
DAVID,S,BRAY,1439 POPLAR,TERRE HAUTE,IN,47807,666317648,,
JENNIFER,C,KLIMKO,2302 W 64TH,INDIANAPOLIS,IN,46260,666331686,,
PATRICIA,,BRINGE,151 S COUNTY ROAD 300 E,DANVILLE,IN,46122,666341439,,
J,S,IRELAND,333 N IRVINGTON,INDIANAPOLIS,IN,46219,666341646,,
ROSEMARY,,COLAZZO,PO BOX 120,MONTICELLO,IN,47960,666381558,,
THOMAS,,BRIDEWELL      JR,6354 THISTLE,PLAINFIELD,IN,46168,666386113,,
VINCENT,,BARBAROSSA     JR,3018 N BOLTON,INDIANAPOLIS,IN,46218,666392833,,
SANDRA,,KIRKLEND,96 RR2,RISING SUN,IN,47040,666417579,,
CAROL,,GAUKEL,4515 S US 2,GREENCASTLE,IN,46135,666424920,,
STEVEN,,BENKAS,4454 MOLLER,INDIANAPOLIS,IN,46254,666443968,,
CHRISTOPHER,J,BOYES,418 RR2,MORGANTOWN,IN,46160,666489166,,
BARBARA,L,GILLESPIE,887 JOANN,CARMEL,IN,46032,666504339,,
MARY,F,CHAUPPETTA,520 BAILLIERE,MOORESVILLE,IN,46158,666525551,,
JEFF,E,BRUNER,10060 GREENBROOK,INDIANAPOLIS,IN,46229,666525903,,
ERNEST,,LAMM,2009 NORCROSS,INDIANAPOLIS,IN,46260,666543286,,
LINDA,M,BACCUS,1006 ALEXIA,INDIANAPOLIS,IN,46236,666545330,,
MARVIN,W,FRANKLIN,217B RR5,FRANKLIN,IN,46131,666563494,,
STEVE,R,BARNES,1504 WILFORD,INDIANAPOLIS,IN,46229,666568406,,
JANICE,,BOGNER,408 E 100 S,FRANKLIN,IN,46131,666579918,,
ANNE,F,BIVONA,1757 PEMBERTON,INDIANAPOLIS,IN,46260,666588670,,
SUSAN,L,BROUSSARD,7150 MCINTOSH,INDIANAPOLIS,IN,46226,666588672,,
GLORIA,F,BALLARD,1140 IRVING,ANDERSON,IN,46016,666603317,,
JULIE,,BARKER,97 N DEARBORN,INDIANAPOLIS,IN,46201,666624804,,
BARBARA,R,EPLEY,5430 S MERIDIAN,INDIANAPOLIS,IN,46217,666640217,,
JOE,R,BATTEN,9288 E COUNTRY ROAD 200 S,INDIANPOLIS,IN,46231,666644713,,
BERNARD,,DECULUS,200 W RR4,SHELBYVILLE,IN,46176,666646691,,
MARK,,BEAUDOIN,2366 S HENDERSON,BLOOMINGTON,IN,47401,666649284,,
DOYLE,,BROWNING       SR,9320 BOB,INDIANAPOLIS,IN,46236,666650724,,
N,,KAUFER         III,3307 KESSLER,INDIANAPOLIS,IN,46220,666663517,,
STEPHANIE,,DETTLOFF,421 W BROADWAY,GREENWOOD,IN,46142,666666512,,
TAMATHA,,CRUMP,7 JENNIFER,BROWNSBURG,IN,46112,666683700,,
LARA,P,BARNETT,1012 E ALLMAN,CARMEL,IN,46032,666687212,,
PAUL,,KIRKLEY,311 W ARMSTRONG,FRANKFORT,IN,46041,666706607,,
R,C,BALDRIDGE,200 W WALNUT,FRANKTON,IN,46044,666718218,,
TAMMY,A,BEADOIN,2036 N SOMERSET,INDIANAPOLIS,IN,46222,666728788,,
DORIS,H,GAITHER,321 RR1,REELSVILLE,IN,46171,666770940,,
IHSAN,,BAMAN,145 1ST,SHELBYVILLE,IN,46176,666781827,,
DIANE,,LIEBERMAN,1308 SUMMIT,NEW HAVEN,IN,46774,666789662,,
ROBERTA,L,BAUMGARDNER,2082 SOUTHWOOD,GREENWOOD,IN,46143,666793236,,
DAYNA,L,BARRET,6315 N PARK,INDIANAPOLIS,IN,46220,666800946,,
BETH,E,HAUSE,1 N TOCOVI,BROWNSBURG,IN,46112,666808880,,
CHRISTOPHER,,BAILEY,403 CHIPPEWA,JEFFERSONVILLE,IN,47130,666810178,,
MARYANN,,HUHNWERNER,12438 H 125 W,ALEXANDRIA,IN,46001,666851468,,
W,P,FLICKINGER,29 HICKORY,INDY,IN,46227,666858057,,
FREDERICK,D,GARDNER,10308 VERMILYEA,FORT WAYNE,IN,46804,666865173,,
SHARYL,,ERNATZ,1451 SCARLET,SEYMOUR,IN,47274,666892580,,
JEANNE,P,ASPLUND,1112 N COLLEGE,INDIANAPOLIS,IN,46202,666907351,,
KAZIMIERZ,,BOK,3005 BAVARIAN EAST,INDIANAPOLIS,IN,46236,666965898,,
PHILLIP,A,GIBSON,4550 CANDLETREE,INDIANAPOLIS,IN,46254,666966441,,
GARRY,B,BOGGS          SR,3120 EAGLES WAY,LAFAYETTE,IN,47905,666041488,,
RUTH,,DUNAWAY,3263 A RUNA BAY C,MISHAWAKA,IN,46545,666053200,,
GENAVIEVE,,BURNS,9001 COMPTON UNIT 27,INDIANAPOLIS,IN,46240,666062854,,
LORI,,BENSON,717 E 15TH,INDIANAPOLIS,IN,46202,666087096,,
M,A,DECOMARMOND,PO BOX 771,FRANKLIN,IN,46131,666089334,,
J,,BURR,3219 FOREST,EVANSVILLE,IN,47712,666130924,,
PAUL,J,MARCOTTE,8470 WHIPPORWILL,INDIANAPOLIS,IN,46256,666136155,,
CHARITY,,KEITH,4728 N KITLEY,INDIANAPOLIS,IN,46226,666137506,,
MARY,A,BENVENUTI,3150 LINCOLN,INDIANAPOLIS,IN,46222,666141579,,
ALMA,G,FREIMUTH,8974 DORAL EAST,INDIANAPOLIS,IN,46250,666151211,,
JUDIE,B,LANDRY,7156 CARRIE,INDIANAPOLIS,IN,46237,666157196,,
RICKY,W,BURELSON,2563 N MICHIGAN,SHELBYVILLE,IN,46176,666167284,,
CLARA,H,BROOKS,1704 MOCKINGBIRD,MUNCIE,IN,47304,666181522,,
RENEE,L,MARTIN,2305 E 2ND,BLOOMINGTON,IN,47401,666188130,,
ASCENSION,,ERQUIZA,3122 N HARDING,INDIANAPOLIS,IN,46208,666213624,,
M,R,FINNEGAN,2036 N WALNUT,BLOOMINGTON,IN,47404,666248093,,
BARBARA,J,BUSH,70 SRPING,CICERO,IN,46034,666256764,,
JOHN,W,BUCHEY,9327 WITTFIELD,INDIANAPOLIS,IN,46236,666278235,,
JAMES,E,DEVERE,3623 N LINWOOD,INDIANAPOLIS,IN,46218,666279298,,
JEFF,L,BROWN,14984 ST,NOBLESVILLE,IN,46060,666322817,,
PHILIP,A,GIBSON,5602 RENN,INDIANAPOLIS,IN,46254,666339204,,
CONNIE,,BIRD,9524 WHEEL ESTATE,INDIANAPOLIS,IN,46236,666348971,,
BRUNELL,,BOLTON,962 NEVELLE,CARMEL,IN,46032,666358327,,
MARY,A,MILLER,320 W JEFFERSON,TIPTON,IN,46072,666363894,,
MARGY,,BURCHELL,3212 PLAZA,NEW ALBANY,IN,47150,666373696,,
JAMES,,BENNETTS,6562 PIPING ROCK,INDIANAPOLIS,IN,46254,666375396,,
MICHELE,,BLUME,11344 1706 ARBOR VIEW D,INDIANAPOLIS,IN,46236,666419718,,
GARY,W,KUEHL,14754 N 400 E,SUMMITVILLE,IN,46070,666425725,,
BEVERLY,A,HANDFIELD,6130 GOAT HOLLOW,MARTINSVILLE,IN,46151,666442602,,
JANET,,GAMBLE,4937 E 41ST,INDIANAPOLIS,IN,46226,666445479,,
THOMAS,,BRUN,1636 N 600 E,DANVILLE,IN,46122,666445771,,
LNDA,K,BODE,527 HOOSIER,BLOOMINGTON,IN,47404,666460603,,
TYSON,,BAKER,324 NORRIS,NORTH VERNON,IN,47265,666466310,,
KEVIN,M,MARTONE,10122 CUMBERLAND,FISHERS,IN,46038,666481882,,
NICHOLAS,E,MODARELLI,632 LAWNDALE,PLAINFIELD,IN,46168,666485761,,
AUDREY,,HILLER,8299 HILL GAIL,INDIANAPOLIS,IN,46217,666487362,,
GLORIA,,KANRECK,60 LANE 130 FOX,ANGOLA,IN,46703,666488655,,
WINFORD,E,JAMES,212 ECHO,MOORESVILLE,IN,46158,666501730,,
MARIA,A,IGLESIAS,9629 ROSSTON PK S,ZIONSVILLE,IN,46077,666503560,,
ESTELLA,,BUSTILLOS,6069 YELLOW BIRCH E,PLAINFIELD,IN,46168,666516404,,
LOIS,C,MANNINENN,505 W COLONIAL,NEW CASTLE,IN,47362,666533047,,
WILLIAM,T,BURTON,5944 W MOORESVILLE,INDIANAPOLIS,IN,46221,666534785,,
ANGELA,S,BEATIE,727 W 7TH,ANDERSON,IN,46016,666545651,,
JANE,F,BOCIAN,7 PEACHTREE,NEW WHITELAND,IN,46184,666546875,,
F,R,JOSEPH,3521 DOGIE,INDIANAPOLIS,IN,46222,666562134,,
LEONA,E,DROM,PO BOX 439,ALEXANDRIA,IN,46001,666563721,,
GAYLE,,BECK,111 FOXHILL,INDIANAPOLIS,IN,46208,666565815,,
NADINE,,BELLAVIA,4037 SENOUR,INDIANAPOLIS,IN,46239,666572501,,
CHARLES,P,FANTASIA,9145 NORA,INDIANAPOLIS,IN,46240,666575618,,
ROSEMARY,,BABINSKI,3460 TRACTION,CRAWFORDSVILLE,IN,47933,666585623,,
THOMAS,,BRINSON,8660 BEECHMILL,INDIANAPOLIS,IN,46227,666609524,,
WARREN,W,BLACKWELL,3780 S ELAND,NEW PALESTINE,IN,46163,666649785,,
DALENE,E,BARNHART,5715 S RANDOLPH,INDIANAPOLIS,IN,46227,666653852,,
CHRISTOPHER,,BIERMAN,810 N WASHINGTON,BLOOMINGTON,IN,47408,666661496,,
RICK,J,BARGER,827 ZIONSVILLE,INDIANAPOLIS,IN,46268,666665656,,
FAITH,,BLACK,9926 FULBROOK,INDIANAPOLIS,IN,46229,666683867,,
JOHN,R,BURLEIGH,505 1/2 E THOMPSON,EDINBURGH,IN,46124,666683917,,
THOMAS,L,BRINSON,8350 N PENNSYLVANIA,INDIANAPOLIS,IN,46240,666684473,,
JOSEPH,R,LONG,5040 RIVERVIEW,INDIANAPOLIS,IN,46208,666704011,,
PRE,R,BEASLEY,229 S EMERSON,INDIANAPOLIS,IN,46219,666715793,,
ISE,B,GRAHAM,3217 BUCKMOOR,GREENWOOD,IN,46143,666720247,,
V,M,LOCASCIO,18200 US HIGHWAY 31 N,WESTFIELD,IN,46074,666724060,,
L,,HALLAR,1749 ELLEN,SPEEDWAY,IN,46224,666747034,,
ALMA,A,FREIMUTH,3335 E VERMONT,INDIANAPOLIS,IN,46201,666765307,,
ANTHONY,S,BEUKAS,6426 PERGOLA,INDIANAPOLIS,IN,46241,666771728,,
TINA,,MCKNIGHT,3649 GEORGETOWN,INDIANAPOLIS,IN,46224,666779764,,
NICHOLAS,R,BURNS,817 N WEST,LEBANON,IN,46052,666786754,,
ROSELEE,,BLAKE,1112 WATER BLUFF,ANDERSON,IN,46013,666803392,,
MERCEDES,,GONZALEZ,203 KINSER,FISHERS,IN,46038,666804598,,
HARVEY,,CLARK,9677 W COUNTY,COLFAX,IN,46035,666808440,,
LUVNA,,MALIK,916 N VINSON,MARION,IN,46952,666824455,,
DENNIS,J,BALLARD,3616 NEWHOUSE,GREENWOOD,IN,46143,666842027,,
LARRY,L,BROCK,2459 S MERIDIAN,GREENFIELD,IN,46140,666852667,,
ANITA,G,BLODGETT,6354 CREEKVIEW,FISHERS,IN,46038,666884962,,
MERCEDES,,GONZALES,755 MOHAWK HILLS,CARMEL,IN,46032,666888933,,
DAVID,R,KANATZER,3115 E SPRINGMEADOW,CARMEL,IN,46033,666921740,,
SUSAN,S,JOHN,7460 WATERFRONT,INDIANAPOLIS,IN,46214,666922252,,
WILLIAM,S,DEGAETARO,4201 S WASHINGTON,MARION,IN,46953,666982343,,
JOSEPH,,BURKHOLDER,9415 SAN MIGUEL,INDIANAPOLIS,IN,46250,666019847,,
DAVID,L,CHISLER,BAKER HALL BOX,MUNCIE,IN,47306,666034236,,
WILLIAM,C,BRIDWELL,203 WILLKIE NOCOOP,BLOOMINGTON,IN,47406,666042064,,
MARCELA,,KOPAL,PO BOX 118,MORRISTOWN,IN,46161,666053135,,
HANS,R,ITA,5096 OAKHURST,INDIANAPOLIS,IN,46254,666124122,,
BILLIE,J,BEHRENDT,5246 E 86TH,INDIANAPOLIS,IN,46250,666145025,,
RICK,E,DULAP,521 N DEQUINCY,INDIANAPOLIS,IN,46201,666152673,,
PHILLIP,A,HUTZELL,3534 E FALL CREEK PARKWAY NOR,INDIANAPOLIS,IN,46205,666193582,,
LINDA,,BARNES,820 DIVISION,INDIANAPOLIS,IN,46221,666224263,,
LUCILLE,A,BOHANNON,5408 CHARLESTON,INDIANAPOLIS,IN,46224,666239540,,
HUGO,,BASTERRECHEA,301 RUE RABELAIS,SOUTH BEND,IN,46615,666241431,,
LINDA,D,BROWN,5932 W MOORESVILLE,INDIANAPOLIS,IN,46221,666252403,,
HAROLD,,HORMAN         JR,202 N COUNTY ROAD 730 E,MICHIGANTOWN,IN,46057,666276190,,
ROBERT,E,BORMAN,PO BOX 4230,EVANSVILLE,IN,47724,666278958,,
DIANNA,B,DUGAS,8139 E 47TH,INDIANAPOLIS,IN,46226,666292157,,
MARCELLA,A,KOPAL,PO BOX 387,MORRISTOWN,IN,46161,666299764,,
CAROLYN,S,GAUKEL,517 KING ARTHUR,FRANKLIN,IN,46131,666310007,,
D,B,JAMES,HARDEGAN,INDIANAPOLIS,IN,46227,666314509,,
ANDREA,,MORGAN,8595 N COUNTY ROAD 800 E,FRANKFORT,IN,46041,666329656,,
DENISE,,BOLT,646 SHERWOOD,BLOOMINGTON,IN,47401,666340405,,
ANTHON,G,ALESSANDRO,1324 WHITE WATER,CICERO,IN,46034,666363129,,
CINDY,,BUTTERS,4489 WILLOW BEND,BEECH GROVE,IN,46107,666365783,,
JOSEPH,M,BURKHOLDER,9416 TIMBER VIEW,INDIANAPOLIS,IN,46250,666367101,,
ANDRE,E,HOH,4620 N ABINGTON,INDIANAPOLIS,IN,46254,666377479,,
JAMES,O,LAY,4030 S LYONS,INDIANAPOLIS,IN,46221,666401524,,
DIANE,A,HAKE,321 E 14TH,BLOOMINGTON,IN,47408,666405143,,
CRAIG,,BRADENBURG,4123 N RILEY,INDIANAPOLIS,IN,46226,666477026,,
LAUDIE,D,BEARD,5844 JEFFREY,NEWBURGH,IN,47630,666477399,,
JANET,L,BOWEN,4331 SHADY VIEW,INDIANAPOLIS,IN,46226,666480239,,
TIMOTHY,A,BROPHY,5307 NOTTINGHAM,EVANSVILLE,IN,47715,666482260,,
MARY,C,KOUBEK,1412 FOUNTAIN,ANDERSON,IN,46016,666486020,,
JEANETTE,M,BESSEN,PO BOX 929,COLUMBUS,IN,47202,666506676,,
SERRANO,,JAMES,104 N HOME,FRANKLIN,IN,46131,666508375,,
FRANCES,B,BRENNAN,50887 LINCOLNSHIRE,GRANGER,IN,46530,666529265,,
CRAIG,,BRUNO,4907 MINDY,INDIANAPOLIS,IN,46236,666544798,,
RITA,L,HOSKINS,917 N HARBISON,INDIANAPOLIS,IN,46219,666561008,,
LINDA,L,BUESO,1609 TULIP,INDIANAPOLIS,IN,46227,666563293,,
DONALD,M,BEAN,202 GRONERT,CRAWFORDSVILLE,IN,47933,666571456,,
JOANNA,M,GAUDI,3304 TARA,INDIANAPOLIS,IN,46224,666577960,,
ALIDA,,GUDAITIS,5839 TYBALT,INDIANAPOLIS,IN,46254,666583989,,
LLOYD,B,COMPTON,PO BOX 40,COATESVILLE,IN,46121,666589987,,
CHARLES,,DENHAM,1800 DUTCH,JEFFERSONVILLE,IN,47130,666600754,,
PATRICK,A,BABB,3230 MORNINGSONG,INDIANAPOLIS,IN,46241,666601433,,
AMY,,BARNARD,1119 W CARSON,MUNCIE,IN,47303,666603411,,
DEAN,E,CURRY,6743 CREEK BAY,INDIANAPOLIS,IN,46217,666629416,,
SUSAN,A,CARPENTER,110 CHARING,INDPLS,IN,46217,666647487,,
KATHLEEN,W,BELGER,3907 N DELAWARE,INDIANAPOLIS,IN,46205,666686421,,
JAMES,,LUETKEMEYER,311 BUFFALO,INDIANAPOLIS,IN,46217,666687002,,
ANNE,F,BIVONA,533 S MAIN,BOURBON,IN,46504,666702335,,
AMY,L,BURFORD,350 W CRAGMONT,INDIANAPOLIS,IN,46217,666702480,,
VICKY,A,DORSEY,1509 UNION,INDIANAPOLIS,IN,46225,666721358,,
EVANGELIN,A,ADAMS,9625 SHORELAND,INDIANAPOLIS,IN,46229,666727709,,
ROBERTA,V,BEYELER,PO BOX 635,BEECH GROVE,IN,46107,666747705,,
JOSEPH,R,BERECZ,401 N DEQUINCY,INDIANAPOLIS,IN,46201,666768477,,
CHAS,E,BARTON         JR,207 W WASHINGTON,FAIRLAND,IN,46126,666781575,,
ROBERT,,BENTLER,2507 N PARK,INDIANAPOLIS,IN,46205,666800674,,
CINDY,,BUTTER,3338 LEATHERBURY,INDIANAPOLIS,IN,46222,666805418,,
DAN,T,ETLER,319C RR1,FOUNTAINTOWN,IN,46130,666821416,,
CAROL,,LIPPOLD,333 E OHIO STE 200,INDIANAPOLIS,IN,46204,666824020,,
ILIVIA,,HOTAR,3850 CEDAR RIDGE,INDIANAPOLIS,IN,46236,666835481,,
SHIRLIE,J,LAWSON,4710 EAGLES WATCH,INDIANAPOLIS,IN,46254,666842901,,
RUTH,M,BOWEN,PO BOX 1772,INDIANAPOLIS,IN,46206,666859376,,
TERRI,L,BRUNTS,207 SEYMOUR,CROTHERSVILLE,IN,47229,666885910,,
DAVID,,CALVIN,PO BOX 13,INDIANAPOLIS,IN,46206,666891345,,
DORIS,M,COSS,3407 COFFEY,INDIANAPOLIS,IN,46217,666899835,,
RICHARD,,BARRON,1205 N PARK,INDIANAPOLIS,IN,46202,666902746,,
CRAIG,,ALEXANDER,PO BOX 103,TERRE HAUTE,IN,47808,666921241,,
TERRY,,BISHOP,LAVEIANAN LOT 5,MARTINSVILLE,IN,46151,666925232,,
CAROLYN,S,GAWKEL,3627 GREEN,GREENFIELD,IN,46140,666940249,,
DEBBIE,L,BARNETT,404 N SUMMIT,SUMMITVILLE,IN,46070,666943155,,
PHILIP,,DE PALMA,1912 POPLAR,ANDERSON,IN,46012,666944760,,
TIMOTHY,S,HASKINS,7726 HOYT,INDIANAPOLIS,IN,46239,666966681,,
ROBT,B,HIGGINBOTHAM,950 CHAPEL HILL,INDIANAPOLIS,IN,46214,666976787,,
KAREN,M,GREEN,9413 W 16TH N,WICHITA,KS,67212,666232606,,
VIRGINIA,M,DEPRUYDT,250 N WASHINGTON,GREAT BEND,KS,67530,666235222,,
SHIRLEY,A,BOWLING,3838 1 MEADE,FT RILEY,KS,66442,666238461,,
JERGENE,R,BROOKE,1019 N CYPRESS,WICHITA,KS,67206,666314496,,
